Roaster	Coffeename	Region	Producer	Variety	Processing	Tastingnotes	Filename	Country	Altitude	Directtrade	J	Process	Varietal	Harvet	Procesing	Url	Farm	Harvesttime	Certification	Latitude	Bean
Detour	NA	Palestina, Huila	Alexander Vargas	Caturra	Washed	Red Currant, Strawberry, Sugar cane	../Automatic_Drip/R/outputs//EightOunce_Detour_20210314.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	NA	San Agustin, Huila	Association Los Naranjos	Caturra, Colombia	Washed	Apple, Grapefruit, Almond	../Automatic_Drip/R/outputs//EightOunce_Detour_20210314.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	NA	Palestina, Huila	Alexander Vargas	Caturra	Washed	Red Currant, Strawberry, Sugar cane	../Automatic_Drip/R/outputs//EightOunce_Detour_20210321.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	NA	San Agustin, Huila	Association Los Naranjos	Caturra, Colombia	Washed	Apple, Grapefruit, Almond	../Automatic_Drip/R/outputs//EightOunce_Detour_20210321.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	CHELBESA, ETHIOPIA, Washed	GEDEB, YIRGACHEFFE, ETHIOPIA	VARIOUS SMALLHOLDERS WASHING	1974/1974 JARC SELECTIONS & LOCAL LANDRACES	WASHED	TEA ROSE / WHITE GRAPE / TANGERINE	../Automatic_Drip/R/outputs//EightOunce_Detour_20210920.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	FINCA EL ANONAL, GUATEMALA, Washed	Washed	Finca El Anonal	Orlando Martinez	Bourbon, Caturra	Huehuetenango	../Automatic_Drip/R/outputs//EightOunce_Detour_20210920.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	CHELBESA, ETHIOPIA, Washed	GEDEB, YIRGACHEFFE, ETHIOPIA	VARIOUS SMALLHOLDERS WASHING	1974/1974 JARC SELECTIONS & LOCAL LANDRACES	WASHED	TEA ROSE / WHITE GRAPE / TANGERINE	../Automatic_Drip/R/outputs//EightOunce_Detour_20210927.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	FINCA EL ANONAL, GUATEMALA, Washed	Washed	Finca El Anonal	Orlando Martinez	Bourbon, Caturra	Huehuetenango	../Automatic_Drip/R/outputs//EightOunce_Detour_20210927.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	CHELBESA, ETHIOPIA, Washed	GEDEB, YIRGACHEFFE, ETHIOPIA	VARIOUS SMALLHOLDERS WASHING	1974/1974 JARC SELECTIONS & LOCAL LANDRACES	WASHED	TEA ROSE / WHITE GRAPE / TANGERINE	../Automatic_Drip/R/outputs//EightOunce_Detour_20211011.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	FINCA EL ANONAL, GUATEMALA, Washed	Washed	Finca El Anonal	Orlando Martinez	Bourbon, Caturra	Huehuetenango	../Automatic_Drip/R/outputs//EightOunce_Detour_20211011.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Abera Degela, Ethiopia Filter  340g	CHELCHESA, GEDEB DISTRICT, ETHIOPIA	NA	INDIGENOUS HEIRLOOM CULTIVARS	NATURAL	CONCORD GRAPE, PEACH, LEMON CURD	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210204.csv	ETHIOPIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Aricha Lot2, Ethiopia, washed	ARICHA, GEDEO ZONE, ETHIOPIA	NA	INDIGENOUS CULTIVARS	WASHED	NECTARINE, ORANGE, RED APPLE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210204.csv	ETHIOPIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Colombia Luz Marino Quintero  340 g	SANTA MARTA, COLOMBIA	NA	CASTILLO	NATURAL	BLACK CHERRY, CACAO NIB, YOGURT	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210204.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	El Burro, Panama, Gesha Natural	BOQUETE, PANAMA	NA	GESHA	ANAEROBIC SLOW DRY NATURAL	RASPBERRY, CHERRY, LACTIC, FLORAL HONEY	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210204.csv	PANAMA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Finca Takesi Red Catuai	BOLIVIA	NA	RED CATUAI	WASHED	BLACK TEA, HONEY, APPLE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210204.csv	BOLIVIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Frank Torres, Colombia, Honey Process	LA UNION, NARINO, COLOMBIA	NA	CATURRA	HONEY	STRAWBERRY, DULCE DE LECHE, YOGURT	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210204.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Giovanny Hernandez	PITALITO, HUILA	NA	TABI	DOUBLE FERMENTATION WASHED	DRIED CHERRY, ALMOND, COCOA	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210204.csv	HUILA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	La Severa, Guatemala, washed	SANTA CRUZ BARILLAS, HUEHUETENANGO, GUATEMALA	NA	ANACAFE 14, CATURRA, PACHE, SARCHIMOR	WASHED	BUTTER CARAMEL, ALMOND, SUGAR COOKIE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210204.csv	GUATEMALA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Warmth Filter  Rodulfo Jacinto Lopez	LA DEMOCRACIA, HUEHUETENANGO, GUATEMALA	NA	BOURBON AND CATURRA	WASHED	BROWN SUGAR, NECTARINE, BISCUIT COOKIE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210204.csv	GUATEMALA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Aricha Lot2, Ethiopia, washed	ARICHA, GEDEO ZONE, ETHIOPIA	NA	INDIGENOUS CULTIVARS	WASHED	NECTARINE, ORANGE, RED APPLE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210207.csv	ETHIOPIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	El Burro, Panama, Gesha Natural	BOQUETE, PANAMA	NA	GESHA	ANAEROBIC SLOW DRY NATURAL	RASPBERRY, CHERRY, LACTIC, FLORAL HONEY	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210207.csv	PANAMA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Finca Takesi Red Catuai	BOLIVIA	NA	RED CATUAI	WASHED	BLACK TEA, HONEY, APPLE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210207.csv	BOLIVIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Frank Torres, Colombia, Honey Process	LA UNION, NARINO, COLOMBIA	NA	CATURRA	HONEY	STRAWBERRY, DULCE DE LECHE, YOGURT	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210207.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Giovanny Hernandez	PITALITO, HUILA	NA	TABI	DOUBLE FERMENTATION WASHED	DRIED CHERRY, ALMOND, COCOA	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210207.csv	HUILA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	La Severa, Guatemala, washed	SANTA CRUZ BARILLAS, HUEHUETENANGO, GUATEMALA	NA	ANACAFE 14, CATURRA, PACHE, SARCHIMOR	WASHED	BUTTER CARAMEL, ALMOND, SUGAR COOKIE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210207.csv	GUATEMALA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Warmth Filter  Rodulfo Jacinto Lopez	LA DEMOCRACIA, HUEHUETENANGO, GUATEMALA	NA	BOURBON AND CATURRA	WASHED	BROWN SUGAR, NECTARINE, BISCUIT COOKIE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210207.csv	GUATEMALA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	El Burro, Panama, Gesha Natural	BOQUETE, PANAMA	NA	GESHA	ANAEROBIC SLOW DRY NATURAL	RASPBERRY, CHERRY, LACTIC, FLORAL HONEY	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210214.csv	PANAMA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Elkin Guzman, Colombia, Natural Lactic	PITALITO, HUILA, COLOMBIA	NA	TABI	NATURAL LACTIC	STRAWBERRY, LEMON ICED TEA, DARK HONEY	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210214.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Finca Takesi Red Catuai	BOLIVIA	NA	RED CATUAI	WASHED	BLACK TEA, HONEY, APPLE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210214.csv	BOLIVIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Frank Torres, Colombia, Honey Process	LA UNION, NARINO, COLOMBIA	NA	CATURRA	HONEY	STRAWBERRY, DULCE DE LECHE, YOGURT	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210214.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Giovanny Hernandez	PITALITO, HUILA	NA	TABI	DOUBLE FERMENTATION WASHED	DRIED CHERRY, ALMOND, COCOA	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210214.csv	HUILA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Warmth Filter  Rodulfo Jacinto Lopez	LA DEMOCRACIA, HUEHUETENANGO, GUATEMALA	NA	BOURBON AND CATURRA	WASHED	BROWN SUGAR, NECTARINE, BISCUIT COOKIE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210214.csv	GUATEMALA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	El Burro, Panama, Gesha Natural	BOQUETE, PANAMA	NA	GESHA	ANAEROBIC SLOW DRY NATURAL	RASPBERRY, CHERRY, LACTIC, FLORAL HONEY	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210221.csv	PANAMA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Elkin Guzman, Colombia, Natural Lactic	PITALITO, HUILA, COLOMBIA	NA	TABI	NATURAL LACTIC	STRAWBERRY, LEMON ICED TEA, DARK HONEY	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210221.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Finca Takesi Red Catuai	BOLIVIA	NA	RED CATUAI	WASHED	BLACK TEA, HONEY, APPLE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210221.csv	BOLIVIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Frank Torres, Colombia, Honey Process	LA UNION, NARINO, COLOMBIA	NA	CATURRA	HONEY	STRAWBERRY, DULCE DE LECHE, YOGURT	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210221.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Giovanny Hernandez	PITALITO, HUILA	NA	TABI	DOUBLE FERMENTATION WASHED	DRIED CHERRY, ALMOND, COCOA	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210221.csv	HUILA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Warmth Filter  Rodulfo Jacinto Lopez	LA DEMOCRACIA, HUEHUETENANGO, GUATEMALA	NA	BOURBON AND CATURRA	WASHED	BROWN SUGAR, NECTARINE, BISCUIT COOKIE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210221.csv	GUATEMALA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Buesaco, warmth filter, Colombia, Washed	NARINO, COLOMBIA	NA	VARIOUS	TRADITIONAL WASHED	BROWN SUGAR, CHOCOLATE, ORANGE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210228.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Desta Gola, Ethiopia, Washed	GEDEO ZONE, ETHIOPIA	NA	LANDRACE CULTIVARS	WASHED	NECTARINE, ORANGE, RED APPLE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210228.csv	ETHIOPIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Elkin Guzman, Colombia, Natural Lactic	PITALITO, HUILA, COLOMBIA	NA	TABI	NATURAL LACTIC	STRAWBERRY, LEMON ICED TEA, DARK HONEY	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210228.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Felipe Menao, Colombia, Washed Lactic Fermetation	URRAO, ANTIOQUIA, COLOMBIA	NA	CHIROSO BOURBON	WASHED LACTIC	CHERRY PIE, KEY LIME, VANILLA	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210228.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Finca Takesi Red Catuai	BOLIVIA	NA	RED CATUAI	WASHED	BLACK TEA, HONEY, APPLE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210228.csv	BOLIVIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Frank Torres, Colombia, Honey Process	LA UNION, NARINO, COLOMBIA	NA	CATURRA	HONEY	STRAWBERRY, DULCE DE LECHE, YOGURT	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210228.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Warmth Filter  Rodulfo Jacinto Lopez	LA DEMOCRACIA, HUEHUETENANGO, GUATEMALA	NA	BOURBON AND CATURRA	WASHED	BROWN SUGAR, NECTARINE, BISCUIT COOKIE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210228.csv	GUATEMALA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Buesaco, warmth filter, Colombia, Washed	NARINO, COLOMBIA	NA	VARIOUS	TRADITIONAL WASHED	BROWN SUGAR, CHOCOLATE, ORANGE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210309.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Desta Gola, Ethiopia, Washed	GEDEO ZONE, ETHIOPIA	NA	LANDRACE CULTIVARS	WASHED	NECTARINE, ORANGE, RED APPLE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210309.csv	ETHIOPIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Elkin Guzman, Colombia, Natural Lactic	PITALITO, HUILA, COLOMBIA	NA	TABI	NATURAL LACTIC	STRAWBERRY, LEMON ICED TEA, DARK HONEY	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210309.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Finca Takesi Red Catuai	BOLIVIA	NA	RED CATUAI	WASHED	BLACK TEA, HONEY, APPLE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210309.csv	BOLIVIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Frank Torres, Colombia, Honey Process	LA UNION, NARINO, COLOMBIA	NA	CATURRA	HONEY	STRAWBERRY, DULCE DE LECHE, YOGURT	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210309.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Alasitas Java Coco Natural, Bolivia	CARANAVI, BOLIVIA	NA	JAVA	COCO NATURAL	STRAWBERRY, CHERRY, PINOT NOIR	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210314.csv	BOLIVIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Buesaco, warmth filter, Colombia, Washed	NARINO, COLOMBIA	NA	VARIOUS	TRADITIONAL WASHED	BROWN SUGAR, CHOCOLATE, ORANGE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210314.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Desta Gola, Ethiopia, Washed	GEDEO ZONE, ETHIOPIA	NA	LANDRACE CULTIVARS	WASHED	NECTARINE, ORANGE, RED APPLE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210314.csv	ETHIOPIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Elkin Guzman, Colombia, Natural Lactic	PITALITO, HUILA, COLOMBIA	NA	TABI	NATURAL LACTIC	STRAWBERRY, LEMON ICED TEA, DARK HONEY	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210314.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Finca Takesi Red Catuai	BOLIVIA	NA	RED CATUAI	WASHED	BLACK TEA, HONEY, APPLE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210314.csv	BOLIVIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Frank Torres, Colombia, Honey Process	LA UNION, NARINO, COLOMBIA	NA	CATURRA	HONEY	STRAWBERRY, DULCE DE LECHE, YOGURT	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210314.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Miguel Ruiz, Hondura, Washed	SANTA BARBARA, HONDURAS	NA	PACAS	WASHED	RASPBERRY, DARK CHOCOLATE, DATE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210314.csv	HONDURAS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Alasitas Java Coco Natural, Bolivia	CARANAVI, BOLIVIA	NA	JAVA	COCO NATURAL	STRAWBERRY, CHERRY, PINOT NOIR	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210321.csv	BOLIVIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Buesaco, warmth filter, Colombia, Washed	NARINO, COLOMBIA	NA	VARIOUS	TRADITIONAL WASHED	BROWN SUGAR, CHOCOLATE, ORANGE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210321.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Desta Gola, Ethiopia, Washed	GEDEO ZONE, ETHIOPIA	NA	LANDRACE CULTIVARS	WASHED	NECTARINE, ORANGE, RED APPLE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210321.csv	ETHIOPIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Elkin Guzman, Colombia, Natural Lactic	PITALITO, HUILA, COLOMBIA	NA	TABI	NATURAL LACTIC	STRAWBERRY, LEMON ICED TEA, DARK HONEY	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210321.csv	COLOMBIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Finca Takesi Red Catuai	BOLIVIA	NA	RED CATUAI	WASHED	BLACK TEA, HONEY, APPLE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210321.csv	BOLIVIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monogram Coffee	Miguel Ruiz, Hondura, Washed	SANTA BARBARA, HONDURAS	NA	PACAS	WASHED	RASPBERRY, DARK CHOCOLATE, DATE	../Automatic_Drip/R/outputs//EightOunce_Monogram_20210321.csv	HONDURAS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
